"year"	"month"	"SST_degC"
1973	6	16.3619944639056
1973	7	15.2223591251259
1973	8	14.3436753298434
1973	9	14.8416872451189
1973	10	16.6808666709425
1973	11	18.1109869204733
1973	12	19.7608883179563
1974	1	20.8424266745857
1974	2	21.9056278957262
1974	3	20.7139785668576
1974	4	19.9715890574692
1974	5	17.8971124459719
1974	6	16.6932089736755
1974	7	14.425487165102
1974	8	13.7572396314167
1974	9	13.8302355361517
1974	10	15.2525977668217
1974	11	17.0648004452433
1974	12	19.6564195412521
1975	1	21.494541055413
1975	2	21.3572770171612
1975	3	21.5032688266313
1975	4	19.939322751753
1975	5	18.3729963756333
1975	6	16.0816478732566
1975	7	14.3812311938737
1975	8	14.4401216097711
1975	9	14.82149876422
1975	10	15.7567808334637
1975	11	17.0937166973605
1975	12	19.1324887902374
1976	1	20.3177906491291
1976	2	20.1785871061622
1976	3	19.8026758286379
1976	4	18.7889319777346
1976	5	16.725210801476
1976	6	15.2978234904075
1976	7	14.2638029993
1976	8	13.3404224362631
1976	9	13.4488583817028
1976	10	14.3426174181806
1976	11	16.050703957119
1976	12	17.6564375426789
1977	1	18.4938627831112
1977	2	19.9292725909561
1977	3	19.8695887413116
1977	4	18.8792952656009
1977	5	16.2594651919167
1977	6	14.9352242679738
1977	7	13.7024927028654
1977	8	13.627116496889
1977	9	13.9088736364218
1977	10	14.7530871433572
1977	11	16.3053080306392
1977	12	18.2464877726203
1978	1	19.4830983471591
1978	2	20.4734799821751
1978	3	19.4874181531156
1978	4	18.4574529900489
1978	5	16.754038894288
1978	6	15.4486640616655
1978	7	13.287262375206
1978	8	13.2929045707411
1978	9	13.6214743013539
1978	10	14.5931661636599
1978	11	16.6322908937578
1978	12	18.1769300807895
1979	1	19.4937656230926
1979	2	19.9122578450457
1979	3	19.9889564406006
1979	4	19.0792405698751
1979	5	17.2554890224677
1979	6	15.5169875232231
1979	7	14.5655723011212
1979	8	13.6964097108041
1979	9	13.9008511396453
1979	10	14.6771819815494
1979	11	17.127569870571
1979	12	18.6278649270692
1980	1	19.6565958598626
1980	2	20.6155927822147
1980	3	19.1366322775835
1980	4	18.056239991922
1980	5	17.2305399390861
1980	6	14.9668734585534
1980	7	13.8189511450815
1980	8	12.8785558361341
1980	9	13.7623528711203
1980	10	15.3581244551887
1980	11	16.2679284852193
1980	12	17.9532699234069
1981	1	20.2261931309894
1981	2	20.7699597256821
1981	3	20.7240287276544
1981	4	19.6722882161945
1981	5	17.6204685461428
1981	6	16.0587264538954
1981	7	14.3492293660732
1981	8	13.6239427619005
1981	9	13.5558837782587
1981	10	15.1979389975757
1981	11	16.2027787586503
1981	12	19.1621984761018
1982	1	21.1278865049384
1982	2	20.8062813594392
1982	3	20.4062144322803
1982	4	18.9173800854627
1982	5	17.4388603773576
1982	6	15.6153733078659
1982	7	14.1278613506268
1982	8	13.50960014301
1982	9	14.0665024741829
1982	10	14.710329880318
1982	11	16.743547936965
1982	12	18.1228884266801
1983	1	18.9605781450281
1983	2	19.0321635008794
1983	3	18.997957690448
1983	4	18.2292085487942
1983	5	16.7664693563262
1983	6	14.9109804590341
1983	7	14.0652682439096
1983	8	13.4684297474651
1983	9	13.5937041202047
1983	10	14.9847697975162
1983	11	16.7669983121577
1983	12	18.515109175673
1984	1	19.2142124661907
1984	2	19.370783392289
1984	3	19.8211892827374
1984	4	19.247272205654
1984	5	17.4010400354116
1984	6	15.896865969483
1984	7	14.6346891964259
1984	8	13.9808997887992
1984	9	14.1165769595567
1984	10	15.0736343771936
1984	11	17.7113607898407
1984	12	20.3317198193563
1985	1	21.5880780782679
1985	2	21.325363348666
1985	3	20.4256976387374
1985	4	18.8207574869245
1985	5	17.0240708462245
1985	6	15.8582521937898
1985	7	14.3773521844434
1985	8	13.8978537232673
1985	9	13.7892414592172
1985	10	14.7215261120829
1985	11	16.4461866004056
1985	12	18.7188453300723
1986	1	21.412200264323
1986	2	21.2975050082115
1986	3	20.9786328011746
1986	4	19.3841836066848
1986	5	17.7899107308055
1986	6	15.8321570394401
1986	7	13.9366438175709
1986	8	13.4881774318378
1986	9	13.4761877663258
1986	10	15.3568902249153
1986	11	16.8129293101854
1986	12	18.3580974530485
1987	1	20.2008032510816
1987	2	20.4352188437028
1987	3	19.1054238835301
1987	4	17.8714580881484
1987	5	16.6019640927567
1987	6	15.3024077742798
1987	7	13.8328803153087
1987	8	13.8773126051474
1987	9	13.8521872031553
1987	10	15.0813923960543
1987	11	17.0157838715323
1987	12	18.5933946387221
1988	1	19.7382313765107
1988	2	20.8737232279444
